series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import,Unnamed: 0,Type,Score,Score Rank,Popularity Rank,Air Date,Studio,Num. of episodes,Genres,Theme(s),Demographic
52034,"""Oshi no Ko""",TV,11,0,11,2023-04-12,2023-06-28,,1,,0,Completed,,0,,LOW,"🥈: Indiscutivelmente bem produzido, porém raso em conteúdo. Para algo que se propõe a criticar toda uma indústria seus agrupamentos deveriam ser mais fortes, a única questão que funciona aqui é o personagem da Kana.",0,0,1,default,0,,,,,,,,,,,
55791,"""Oshi no Ko"" 2nd Season",TV,13,0,9,2024-07-03,0000-00-00,,6,,0,Watching,,0,,LOW,,0,0,1,default,0,,,,,,,,,,,
1583,009-1,TV,12,0,12,2024-01-23,2024-01-26,,4,,0,Completed,,0,,LOW,"Poderia resumir bastante e dizer que ele é simplesmente desinteressante. Nenhum dos casos apresenta real perigo para a protagonista, que por ter sempre todas as situações controladas faz os episódios serem esquecíveis.",0,0,1,default,0,,,,,,,,,,,
41380,100-man no Inochi no Ue ni Ore wa Tatteiru,TV,12,0,12,2022-01-18,2022-01-19,,2,,0,Completed,,0,,LOW,O monólogo do final é tão patético quanto os outros episódios,0,0,1,default,0,,,,,,,,,,,
44881,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,TV,12,0,12,2022-01-19,2022-01-20,,2,,0,Completed,,0,,LOW,"Protagonista com complexo de Deus, a personagem adicionada é só uma ferramenta de roteiro, mas tem uma sacada legal no último episódio",0,0,1,default,0,,,,,,,,,,,
31646,3-gatsu no Lion,TV,22,0,22,2022-05-15,2022-05-19,,9,,0,Completed,,0,,LOW,"🥈: O suco do anime de esporte, um desenvolvimento orgânico, expresso por pequenos detalhes na animação. Muitos dizem ser monótono, mas vou ter que discordar, acredito que esse ritmo casou perfeitamente com a obra",0,0,1,default,0,159.0,TV,8.4,160.0,275.0,"Oct 8, 2016 to Mar 18, 2017",['Shaft'],22.0,"['Drama', 'Slice of Life']","['Childcare', 'Iyashikei', 'Strategy Game']",Seinen
35180,3-gatsu no Lion 2nd Season,TV,22,0,22,2023-07-08,2023-07-10,,10,,0,Completed,,0,,LOW,"💎: Estava muito em dúvida em que nota dar, tanto que mudei de ideia, não achei justo deixar de fora dos meus poucos 10 uma obra tão bela. Em toda a minha vida, nunca vi uma retratação tão perfeita da relação escolar de uma pessoa, da alegria ao",0,0,1,default,0,13.0,TV,8.96,14.0,535.0,"Oct 14, 2017 to Mar 31, 2018",['Shaft'],22.0,"['Drama', 'Slice of Life']","['Childcare', 'Iyashikei', 'Strategy Game']",Seinen
55973,30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,TV,12,0,12,2024-01-10,2024-03-27,,3,,0,Completed,,0,,LOW,"A premissa não me pegou muito desde o princípio, até porque o Adachi usa o seu poder da forma mais esdrúxula possível. Também acho que o anime desperdiça tempo com o casal secundário, sendo que nem o principal é bom.",0,0,1,default,0,,,,,,,,,,,
51464,4-nin wa Sorezore Uso wo Tsuku,TV,11,0,11,2022-10-15,2022-12-24,,6,,0,Completed,,0,,LOW,"Meio Sus, a melhor parte de longe é a do meio, me arrancou dúzia de rizadas e a ideia em si é boa",0,0,1,default,0,,,,,,,,,,,
38101,5-toubun no Hanayome,TV,12,0,12,0000-00-00,0000-00-00,,5,,0,Completed,,0,,LOW,"Tem o seu valor, principalmente pelo fator das irmãs, que realmente se destacam. Contudo o enredo em si, é fraco, mesmo que consiga prender até o fim",0,0,1,default,0,1140.0,TV,7.68,1141.0,180.0,"Jan 11, 2019 to Mar 29, 2019",['Tezuka Productions'],12.0,"['Comedy', 'Romance']","['Harem', 'School']",Shounen
39783,5-toubun no Hanayome ∬,TV,12,0,12,2023-02-05,2023-02-06,,5,,0,Completed,,0,,LOW,"Queda na qualidade visual é proporcional a melhora considerável no roteiro, claro que ainda tem momentos meio ridículos, mas bem menos.",0,0,1,default,0,396.0,TV,8.13,397.0,318.0,"Jan 8, 2021 to Mar 26, 2021",['Bibury Animation Studios'],12.0,"['Comedy', 'Romance']","['Harem', 'School']",Shounen
48548,5-toubun no Hanayome Movie,Movie,1,0,1,2023-06-04,2023-06-04,,5,,0,Completed,,0,,LOW,"Pelo que eu ouvi desse filme, pensei que fosse o desastre em 2h, mas está bem longe disso, e ainda bem. Acredito que tenha sido uma boa finalização para essa série",0,0,1,default,0,,,,,,,,,,,
41457,86,TV,11,0,11,2021-09-07,2021-09-08,,2,,0,Completed,,0,,LOW,"Proposta Simples, Enredo Simples, Personagens Simples, Nota Simples",0,0,1,default,0,286.0,TV,8.23,287.0,348.0,"Apr 11, 2021 to Jun 20, 2021",['A-1 Pictures'],11.0,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",
48569,86 Part 2,TV,12,0,12,2022-02-13,2022-03-19,,2,,0,Completed,,0,,LOW,"Melhor, mas mais chato que a primeira parte",0,0,1,default,0,42.0,TV,8.72,43.0,666.0,"Oct 3, 2021 to Mar 19, 2022",['A-1 Pictures'],12.0,"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Military']",
36039,A.I.C.O. Incarnation,ONA,12,0,12,0000-00-00,0000-00-00,,2,,0,Completed,,0,,LOW,Se forçar mais rasga,0,0,1,default,0,,,,,,,,,,,
33337,ACCA: 13-ku Kansatsu-ka,TV,12,0,12,2023-08-08,2023-08-09,,8,,0,Completed,,0,,LOW,"🥉: 8.5 Adoro a forma como eles constroem as dúvidas no espectador, fazendo você questionar até onde o Jean está realmente envolvido na armação. Apresentação dos diferentes distritos também é um show à parte, onde são social e culturalmente ",0,0,0,default,0,1158.0,TV,7.67,1159.0,1292.0,"Jan 10, 2017 to Mar 28, 2017",['Madhouse'],12.0,"['Drama', 'Fantasy', 'Mystery']",['Detective'],Seinen
39790,Adachi to Shimamura,TV,12,0,12,2022-03-07,2022-03-08,,3,,0,Completed,,0,,LOW,"De primeira pensei, ""Tá aí um romance legalzinho"", mas infelizmente vira uma enrolação sem tamanho, uns tramas idiotas, tenta discutir coisas importantes de forma rasa, e pior não leva a lugar nenhum te fazendo ter uma sensação de tempo perdido",0,0,1,default,0,,,,,,,,,,,
1292,Afro Samurai,TV,5,0,5,2023-12-20,2023-12-21,,6,,0,Completed,,0,,LOW,"🥈: Sua estética é inegavelmente única, uma mistura do clássico japonês com o cowboy americano, e o Samuel L. Jackson está fantástico aqui. Porém, não consegui engolir as armas mega tecnológicas daqui, me tirou completamente do clima do restan",0,0,1,default,0,,,,,,,,,,,
36904,Aggressive Retsuko (ONA),ONA,10,0,10,0000-00-00,0000-00-00,,6,,0,Completed,,0,,LOW,Achei engraçado,0,0,1,default,0,1190.0,ONA,7.66,1191.0,1247.0,"Apr 20, 2018",['Fanworks'],10.0,"['Comedy', 'Slice of Life']","['Anthropomorphic', 'Workplace']",
37985,Aggressive Retsuko (ONA) 2nd Season,ONA,10,0,10,0000-00-00,0000-00-00,,4,,0,Completed,,0,,LOW,"A primeira temporada é significativamente melhor, mesmo com só 10 episódios maratonar é cansativo",0,0,1,default,0,968.0,ONA,7.75,969.0,1769.0,"Jun 14, 2019",['Fanworks'],10.0,"['Comedy', 'Slice of Life']","['Anthropomorphic', 'Workplace']",
49520,Aharen-san wa Hakarenai,TV,12,0,12,0000-00-00,2022-06-18,,4,,0,Completed,,0,,LOW,"O resumo de uma comédia ""ok""",0,0,1,default,0,1666.0,TV,7.49,1667.0,1172.0,"Apr 2, 2022 to ?",['Felix Film'],0.0,['Comedy'],"['Iyashikei', 'School']",Shounen
53787,AI no Idenshi,TV,12,0,12,2023-07-07,2023-09-29,,5,,0,Completed,,0,,LOW,"Nunca pensei que diria isso, mas se a Madhouse não tivesse uma produção tão porca essa obra seria consideravelmente mais agradável, ótimas ideias e uma execução muito fraca",0,0,1,default,0,,,,,,,,,,,
50429,Aiyou de Mishi,ONA,16,0,16,2023-04-17,2023-07-19,,3,,0,Completed,,0,,LOW,"O que mais quebrou essa obra para mim foi a forma com que os episódios foram divididos, com nuances que só podem ser pegos em uma assistida mais contínua. De qualquer forma, apresenta um mistério interessante e tem um alto fator de revisita.",0,0,1,default,0,,,,,,,,,,,
31580,Ajin,TV,13,0,13,2022-08-31,2022-09-02,,8,,0,Completed,,0,,LOW,"🥈🥉: Tinha esquecido de escrever e agora vou só colocar qualquer coisa. Assistam Ajin, mesmo como o 3D é muito bom",0,0,1,default,0,1941.0,TV,7.42,1942.0,333.0,"Jan 16, 2016 to Apr 9, 2016",['Polygon Pictures'],13.0,"['Action', 'Horror', 'Mystery', 'Supernatural']",['Gore'],Seinen
33253,Ajin Part 2,TV,13,0,13,2022-09-02,2022-09-03,,8,,0,Completed,,0,,LOW,🥈🥉: Uma das obras mais subestimadas da história dos animes,0,0,1,default,0,,,,,,,,,,,
283,Akage no Anne,TV,50,0,50,0000-00-00,0000-00-00,,8,,0,Completed,,0,,LOW,"🥇: O mundo precisa saber que essa versão é infinitamente superior a série feita pela Netflix (Mesmo que seja boa), tocante e brilhante",0,0,1,default,0,1063.0,TV,7.71,1064.0,3614.0,"Jan 7, 1979 to Dec 30, 1979",['Nippon Animation'],50.0,"['Drama', 'Slice of Life']","['Historical', 'Iyashikei']",
22199,Akame ga Kill!,TV,24,0,24,0000-00-00,0000-00-00,,3,,0,Completed,,0,,LOW,"Tenta ser muito mais do que tem capacidade, e falha miseravelmente",0,0,1,default,0,1744.0,TV,7.47,1745.0,27.0,"Jul 7, 2014 to Dec 15, 2014",['White Fox'],24.0,"['Action', 'Fantasy']","['Gore', 'Super Power']",Shounen
47,Akira,Movie,1,0,1,2022-01-28,2022-01-28,,7,,0,Completed,,0,,LOW,"🥈: Um filme belíssimo com um enredo bem confuso, mas mesmo assim interessante",0,0,1,default,0,366.0,Movie,8.16,367.0,213.0,"Jul 16, 1988",['Tokyo Movie Shinsha'],1.0,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Supernatural']","['Gore', 'Military']",Seinen
16201,Aku no Hana,TV,13,0,13,0000-00-00,0000-00-00,,8,,0,Completed,,0,,LOW,"🥉: Fiquei surpreso quando revi a obra, tendo em vista que odiei da primeira vez, os sentimentos que a direção consegue passar são impressionantes",0,0,1,default,0,,,,,,,,,,,
41433,Akudama Drive,TV,12,0,12,2023-04-30,2023-05-01,,6,,0,Completed,,0,,LOW,"O começo com certeza afastou muita gente, realmente é muito fraco, mas me surpreendeu a coragem do final, considerando sua proposta até que entrega uma boa reflexão no final.",0,0,1,default,0,1252.0,TV,7.63,1253.0,546.0,"Oct 8, 2020 to Dec 24, 2020",['Studio Pierrot'],12.0,"['Action', 'Sci-Fi']",['Gore'],
48425,Akuma-kun (ONA),ONA,12,0,12,2023-11-20,2023-11-22,,7,,0,Completed,,0,,LOW,"🥉: Fiquei realmente impressionado em como eles conseguiram entreter tanto com esse ritmo episódico, além de ter personagens muito interessantes.",0,0,1,default,0,,,,,,,,,,,
49979,Akuyaku Reijou nanode Last Boss wo Kattemimashita,TV,12,0,12,2022-10-17,2022-12-10,,5,,0,Completed,,0,,LOW,"A premissa parece ter sido desenvolvida jogando um romance depois de muita pinga, o que a faz muito interessante kkkkk. Interessantemente tudo funciona relativamente bem, o final é meio forçado, mas vale a pena",0,0,1,default,0,,,,,,,,,,,
49303,Alice to Therese no Maboroshi Koujou,Movie,1,0,1,2024-02-25,2024-02-25,,5,,0,Completed,,0,,LOW,"🥈: 4.5, É o tipo de filme que piora a cada revista, mesmo com seus visuais lindos e uma ideia bem interessante, ele simplesmente tem problemas demais. Só o personagem do protagonista funciona, o elenco de personagens é fraco e etc...",0,0,1,default,0,,,,,,,,,,,
